Size Insertion Heap Quick RadixLSD Hybrid InsertionSorted HeapSorted QuickSorted RadixLSDSorted HybridSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual HybridEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed HybridReversed
10 632 1185 1029 3632 599 166 876 397 2214 176 167 440 422 2181 172 667 635 422 2171 674
20 1486 3111 2196 5104 1460 248 2202 715 5025 256 244 727 896 2709 257 2049 1719 790 4974 2072
30 2397 4278 3164 5577 2430 309 3289 1038 5516 318 309 905 1337 2962 315 3724 2681 1106 5460 3808
40 3435 5551 3917 5908 3484 352 4550 1245 5850 364 355 1036 1604 3155 361 5632 3526 1272 5788 5770
50 4356 6288 4378 5926 4430 367 5384 1370 5873 374 367 1086 1831 3182 375 7383 4215 1384 5801 7503
60 5269 6997 4789 5860 3994 369 6167 1556 5822 644 368 1144 2005 3151 635 9190 4735 1537 5765 637
70 6250 7502 5119 5802 4268 386 6653 1576 5763 644 383 1152 2042 3163 644 10919 5367 1577 5726 639
80 7340 8102 5489 5971 4513 394 7379 1650 5889 661 392 1214 2221 3227 667 13016 5929 1659 5824 667
90 8774 9003 6090 6202 4972 418 8265 1899 6173 698 415 1309 2456 3511 712 15740 6900 1890 6140 721
100 10382 10152 6787 8990 5529 460 9466 2097 6626 754 456 1415 2707 3627 771 19020 7592 2114 6568 774
200 37662 23031 14522 16702 12155 849 22479 4534 16710 1876 845 2682 5776 6379 2082 71377 18640 4603 16611 1973
300 81473 37441 22903 23878 19376 1259 35628 7299 24158 3495 1257 3977 9166 9216 3928 158647 31136 7472 23747 3650
400 143545 52690 31699 31276 27160 1665 48794 9926 31362 4564 1660 5420 12648 12197 5220 280866 44105 10034 31297 4782
500 225316 69083 41138 39066 35583 2107 63660 13207 39077 7095 2094 6678 16413 15047 8112 441927 58036 13477 39038 7362
600 319523 85097 50242 46304 43575 2649 77742 16144 46683 8300 2484 7953 20257 17774 9630 632769 72455 16131 46177 8612
700 440325 102052 60702 53946 52595 2942 92984 18819 54154 9659 2912 9443 23864 20834 11174 864166 87214 18707 53846 10011
800 564942 117919 68893 61224 60382 3332 106560 21704 61056 10937 3304 10560 27682 23600 12557 1117556 100057 22017 61001 11272
900 713913 134407 79237 68471 69948 3750 121561 24888 68783 14837 3733 12068 31272 26524 16993 1414911 115426 25232 69000 15245
1000 880425 151884 89692 92228 79367 4160 136457 28491 75902 16153 4318 13297 35732 29730 19081 1745545 128150 28682 75408 16702
1100 1070872 170406 100023 110144 88242 4581 152660 31099 110313 18004 4573 14867 39409 32393 20662 2126260 144129 31639 110387 18487
1200 1289740 190797 111224 120429 99000 5047 170849 35184 120779 19703 5085 16163 44445 35527 22442 2559798 160681 35399 120810 20248
1300 1480994 204913 119204 127843 106384 5365 182681 36663 128750 20777 5331 17283 46752 37761 23989 2940227 172570 37152 127609 21413
1400 1723872 222122 129416 138051 115362 5807 197035 40009 138294 22185 5780 18489 50652 40766 25896 3421795 186954 40438 138025 23083
1500 1962107 240307 138274 147220 124612 6192 211413 44187 147173 23590 6145 19684 54843 43355 27767 3901970 201499 44767 146901 24329
1600 2248675 261516 150918 157919 135450 6644 228882 46693 159440 25166 6626 21224 59885 47386 29533 4485049 215886 47752 158781 26310
1700 2550651 278699 161780 169624 145066 7154 250589 51353 168937 32205 7032 22975 65208 49682 36688 5079192 234847 53336 168631 32733
1800 2871511 298523 172409 178024 154380 7478 262109 53946 178518 33620 7440 24020 67924 52608 39182 5695213 249775 54493 178584 34570
1900 3264733 321964 186003 192412 167675 7937 279320 59727 190313 35732 8193 26667 76327 56163 41709 6405274 265825 60351 191345 36771
2000 3492233 332652 191646 196352 173180 8372 287786 61273 196288 36748 8236 26337 76878 57832 42831 6954239 277286 62084 195951 37748
2100 3845123 353068 202262 205910 183347 8657 307601 62176 206367 38517 8769 27639 78929 60821 44877 7665741 293640 63505 205547 39376
2200 4220327 371878 212067 215023 192199 9084 325309 65957 215662 39986 9039 28958 83631 63973 46866 8404837 308019 67084 215112 41356
2300 4616398 392236 223806 225235 202954 9597 341940 68571 225767 41847 9468 30341 86546 66545 48967 9206039 324517 69807 224972 43384
2400 5031638 411003 233909 234704 212693 9911 358876 74376 235987 43460 9864 31686 93520 69536 50842 10023649 340592 75027 234505 44858
2500 5491078 431750 245897 246073 223964 10382 375821 77315 246074 45436 10339 33117 97784 72701 53383 10931705 357892 78152 245580 46860
2600 5884451 446917 254828 254565 231704 10731 389739 78919 254728 46772 10694 34231 100733 75434 55178 11744124 373031 79927 253983 48402
2700 6345609 465480 265922 263620 240845 11127 403979 82510 264134 48472 11092 35542 105720 77824 57172 12643961 389619 83921 263875 50151
2800 6852395 487437 278442 274881 253244 11555 421989 85957 274303 50320 11522 37004 108705 80934 59605 13638531 403599 86834 274207 52199
2900 7422900 511650 291132 286335 265660 12070 441551 91162 286989 52368 12018 38576 116079 84505 61837 14763642 424945 92139 285781 54142
3000 7949560 530502 301766 295378 274933 12483 458379 96097 296228 54331 12573 39934 119328 87490 63917 15799172 438352 97079 295210 56497
3100 8426732 551094 312875 305254 284314 12862 474767 97737 305463 55701 12811 41114 122914 90008 65646 16815933 453178 99361 305282 57603
3200 8900622 564245 320869 312928 292908 13185 486531 99853 312726 56994 13184 42143 127576 92622 67409 17786859 464952 101601 312221 58904
3300 9538392 588592 334849 323417 304227 13707 506597 103979 324430 64338 13617 43690 131669 95554 75809 19020810 485537 105948 323236 66315
3400 10130472 610108 345845 334077 314404 14101 525369 108554 334283 70782 14114 45445 138801 99072 83215 20205804 501462 110768 334175 72875
3500 10703884 630505 357852 344340 325475 14488 540459 112720 344336 72966 14444 46403 142059 101609 85496 21387829 519787 114541 344884 74943
3600 11496418 660325 375794 360191 340576 15202 564199 115468 358475 75153 15052 48509 146035 105357 88665 22859089 540018 118761 358325 78592
