Size Insertion Heap Quick RadixLSD Hybrid InsertionSorted HeapSorted QuickSorted RadixLSDSorted HybridSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual HybridEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed HybridReversed
10 799 1480 1208 4165 740 204 1077 472 2712 210 197 505 555 2639 207 857 816 462 2628 865
20 1775 3430 2694 6185 1746 302 2685 870 6102 317 301 847 1108 3279 311 2549 2173 912 6016 2519
30 2735 4876 3621 6362 2764 355 3748 1203 6301 369 351 1002 1567 3376 363 4267 3114 1224 6245 4359
40 3782 6006 4296 6453 3855 378 5057 1312 6388 392 383 1106 1755 3434 392 6334 3904 1380 6432 6299
50 4845 6950 4850 6539 4893 405 5931 1529 6502 411 408 1195 2011 3520 417 8191 4692 1539 6432 8347
60 5730 7512 5138 6288 4341 404 6520 1663 6248 696 401 1211 2113 3371 677 9835 5112 1672 6179 681
70 6576 7874 5382 6145 4644 394 7000 1684 6108 676 389 1234 2162 3351 677 11606 5652 1726 6042 680
80 7416 8281 5646 6078 4663 407 7504 1713 6050 679 403 1228 2278 3362 682 13351 6096 1717 5981 680
90 8915 9109 6321 6262 5081 427 8367 1954 6237 707 426 1310 2493 3417 718 15940 6896 1917 6188 721
100 10721 10511 6995 8729 5731 467 9511 2165 6805 771 466 1466 2787 3729 794 19504 7721 2178 6728 859
200 38845 23478 14902 17249 12472 870 22596 4649 17245 1922 870 2769 5934 6600 2141 73418 18813 4750 17201 2038
300 81340 37044 22992 23903 19414 1264 35529 7349 23907 3515 1262 3998 9174 9229 3964 158512 31196 7362 23827 3667
400 143130 52203 31560 31269 27151 1667 48758 9998 31488 4567 1663 5294 12583 12023 5193 280772 43909 10163 31210 4797
500 228511 68928 41415 39149 35904 2118 64064 13363 39426 7122 2110 6713 16447 15263 8170 443482 58342 13430 39084 7557
600 333669 88900 52850 53100 44685 2536 78713 16186 47209 8572 2613 8232 20641 18560 9861 657816 74095 16692 47581 8960
700 446911 103270 61525 55152 53842 3009 94761 19587 55096 9760 2952 9479 24168 21096 11310 877002 88159 19282 54753 10182
800 575213 118742 70377 61602 61954 3352 108735 22143 61856 11098 3323 11081 27939 23858 12832 1132395 102104 22384 61512 11340
900 722222 136190 79733 69041 70926 3807 122958 25752 69295 15080 3742 12011 31374 26595 17078 1428082 115679 26038 69095 15313
1000 887171 152704 89067 93319 79559 4306 136480 28779 76174 16296 4262 13237 35319 29391 18864 1750670 128409 29137 76134 16737
1500 2007065 244259 142179 150325 127566 6279 215973 45203 151474 25190 6265 20118 55699 44164 28632 3990043 206346 45664 149833 24951
2000 3549094 341512 196392 200965 176749 8376 295217 62579 199347 37215 8602 26950 77255 58973 43629 7096906 282042 63705 199191 38346
2500 5502145 431652 247111 247666 225278 10364 376477 78258 246701 45648 10730 33147 97760 72669 53784 10954985 360265 79372 246638 47304
3000 7877219 527995 300823 293964 274631 12383 455294 95798 294808 54265 12337 39952 119185 86809 63607 15688113 435351 96852 294520 55820
3500 10698939 627070 354713 342438 324627 14419 537147 114848 342460 72468 14376 46608 140379 101200 85332 21325732 517511 114388 341936 75024
4000 14072610 739078 416207 396855 382174 16655 628602 133684 395089 82613 16598 53618 165008 117157 97583 28195085 605201 134602 396450 85299
4500 17848699 840482 473017 446013 435347 18702 719754 149672 443341 91954 18640 59864 185020 131410 109134 35599515 689667 149319 442849 95844
5000 22096929 946022 534576 497932 490212 20894 805847 168175 495642 102598 20822 66920 210726 146317 121680 44169988 771800 169406 495287 105756
5500 26688018 1050309 592397 544831 543602 23020 893895 183602 544135 112409 22850 73521 232141 160662 133074 53243889 857402 185798 543680 115202
6000 31926230 1165009 655533 600224 602540 25027 989981 206909 596779 122401 25050 81064 257508 176890 145581 63895952 946742 210220 597962 126342
6500 37474998 1271551 713874 648348 657052 27234 1077372 224185 645559 132149 27413 87755 281001 190495 157128 74951720 1044133 239950 645597 136412
7000 43176379 1374951 768192 693142 708537 29182 1159483 243269 691569 161421 29103 93449 303157 204286 191231 86223649 1115964 247690 691782 166315
7500 49575241 1490630 833349 746872 765965 31239 1248139 267615 741080 172447 31264 100662 332616 218447 204346 99070926 1203762 271920 741743 177119
8000 56358981 1600837 888084 793012 819793 33377 1332717 281340 789235 182857 33214 106831 351088 233106 217613 112654266 1291422 285628 790764 188374
8500 63675403 1706243 950666 843715 878662 35410 1426311 293654 839418 193632 35359 113945 371372 248068 230142 127143764 1378100 297730 845185 198782
9000 71519588 1826500 1018065 903793 943285 37707 1524696 314600 903933 207101 37702 121273 397247 263646 244417 143051409 1477746 320585 893931 211076
9500 79476516 1928854 1069554 942460 991106 39539 1612734 335280 939434 215677 39465 126878 422242 276728 256430 158832147 1558813 341324 941815 221450
10000 88071398 2045212 1134324 1140977 1051237 41602 1706508 355652 990541 226652 41849 133774 448384 291627 270350 176031334 1651319 361521 992982 233273
11000 106593101 2269258 1255222 1345430 1166309 45745 1896865 389421 1339163 248048 45710 147279 495950 321255 296690 212992978 1835657 396287 1344940 255687
12000 126771662 2500314 1385049 1472280 1286241 49984 2084173 436896 1462643 269644 49913 160297 544318 350245 322940 253421446 2014171 442543 1469247 277417
13000 148808154 2733000 1507910 1596102 1404590 54123 2275935 474393 1589794 292339 54037 173679 594917 379416 348807 297431959 2200000 481742 1598028 299263
14000 172806932 2968534 1638283 1714956 1521748 58238 2462275 513800 1706333 353434 58316 187374 645688 408245 421464 345121474 2392552 527032 1722340 363514
15000 198053164 3196276 1762026 1842170 1639550 62530 2651693 564653 1829939 378260 62384 200232 705985 437353 450444 395855852 2573505 572737 1842036 387578
16000 225311876 3445521 1896615 1969628 1767754 66892 2838251 599583 1950905 401616 66620 214146 747950 467412 479741 450925627 2761817 609225 1968139 412934
17000 254728656 3679676 2023071 2087176 1885102 70931 3035574 622972 2078390 424524 71278 227709 791047 496399 508691 508835891 2957147 634668 2101491 437502
18000 286216417 3930045 2161779 2224627 2010674 76069 3244769 669741 2208227 451164 75467 242635 848610 528994 539419 572387430 3153782 681146 2232650 463411
19000 318707889 4176662 2292142 2342714 2134126 79647 3441277 715294 2333759 474997 79515 254602 901094 556553 568918 637221906 3347409 728018 2357657 489062
20000 354051962 4419781 2424451 2473147 2272368 84259 3655297 759525 2459802 498367 83883 268175 956430 585304 597356 707304272 3535226 770400 2467932 512927
