Size Insertion Heap Quick RadixLSD Hybrid InsertionSorted HeapSorted QuickSorted RadixLSDSorted HybridSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual HybridEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed HybridReversed
10 735 1492 1219 4047 694 212 1121 500 2754 220 206 547 549 2732 216 817 839 522 2727 822
20 1757 3473 2706 6276 1765 307 2670 885 6198 315 305 886 1078 3309 316 2482 2104 967 6097 2536
30 2915 5024 3758 6558 2907 366 3922 1241 6487 375 367 1073 1583 3503 379 4405 3179 1283 6408 4492
40 3884 6157 4432 6573 3956 380 5132 1370 6537 434 376 1171 1798 3513 394 6318 3905 1415 6434 6443
50 4877 6946 4872 6484 4957 396 6017 1522 6490 406 396 1220 2006 3512 409 8222 4686 1542 6359 8365
60 5729 7643 5218 6395 4337 401 6630 1702 6380 706 401 1476 2148 3458 688 10042 5184 1672 6293 695
70 6740 8013 5467 6216 4531 406 7204 1700 6167 687 402 1247 2196 3390 688 11749 5745 1696 6118 688
80 7556 8504 5730 6154 4737 414 7689 1724 6125 688 411 1268 2327 3343 694 13649 6221 1739 6089 695
90 8594 9018 6061 6225 5034 424 8245 1917 6184 698 423 1298 2462 3396 712 15731 6782 1925 6136 713
100 10108 9841 6567 8247 5465 446 9139 2047 6455 750 447 1382 2641 3543 753 18537 7379 2061 6409 754
200 37226 22622 14322 16645 12019 843 21933 4475 16620 1882 845 2674 5722 6351 2076 70845 18271 4584 16540 1997
300 81719 36923 22728 23808 19230 1246 35496 7247 24057 3486 1246 3982 9114 9151 3955 158177 30769 7355 23749 3695
400 143417 52147 31607 31277 27136 1661 48883 9885 31257 4571 1663 5299 12582 12023 5198 280602 44054 10052 31265 4824
500 231380 70445 42456 40133 36538 2152 64855 13626 40009 7249 2134 6826 16765 15366 8306 450514 59357 13675 39828 7519
600 320023 84168 49872 46271 43587 2499 77586 16135 46518 8309 2484 8196 19994 17899 9535 631695 71978 16111 46226 8623
700 433033 100046 58852 53381 52318 2899 92005 18433 53570 9677 2881 9312 23207 20651 11014 853097 86182 18536 53321 9896
800 563117 117932 68969 60844 61129 3311 108320 21959 61046 10800 3281 10725 27379 23431 12477 1116525 99770 22276 60677 11242
900 715426 134570 79016 68473 70215 3753 122042 24895 68690 14813 3707 11877 30839 26391 16899 1415360 115102 25166 68547 15297
1000 884767 152154 88853 90171 79230 4187 137114 28807 76542 16262 4126 13407 35204 29349 18853 1748310 129011 29010 76335 16684
1500 2003157 243959 141122 148536 126281 6233 215162 44904 148716 23810 6187 20102 55379 43835 27983 3938095 204540 45935 148638 24508
2000 3498075 334224 192792 197502 174459 8238 292618 62505 197291 37014 8205 26439 75788 58005 42883 6963293 279552 62387 196163 37855
2500 5476208 431187 248753 246440 223699 10358 374400 77597 246033 45340 10429 33212 97415 72632 53224 10915774 357409 78170 245329 46740
3000 7932751 531170 304293 296854 275720 12526 458542 96382 296555 54075 12488 39745 118987 86816 64028 15796485 438447 97450 296423 55767
3500 10670959 625277 354890 343225 323595 14349 538662 113606 341999 72433 14309 46002 140248 101395 84962 21241354 515248 113881 341118 74070
4000 13887085 726028 407171 388169 374506 16407 620438 131506 387995 81331 16321 52751 161864 115004 96128 27652185 593899 131516 388255 83771
4500 17497754 824962 462720 438271 426844 18407 704856 145294 437275 91177 18350 58987 182150 129609 107549 34988772 676649 147110 436418 93337
5000 21678072 927768 521254 485147 479927 20494 791823 163628 485742 100422 20444 65654 206699 143787 119255 43251752 759575 166019 485970 103257
5500 26180042 1034559 579114 533779 532891 22670 880093 179997 535517 110394 22427 72491 228520 157699 130730 52293226 842125 181867 533187 113040
6000 31314974 1140548 636751 584134 586938 24516 963971 202116 582729 119307 24479 78832 250999 171643 142308 62397209 928874 205122 582477 123009
6500 36835951 1250051 699229 635312 645074 26741 1058233 218739 633708 129303 26691 85943 276626 187391 154614 73499740 1017101 222235 634149 133933
7000 43435183 1383726 856501 696912 718343 29942 1164281 243000 699551 160812 29059 93806 302103 203347 190689 86698259 1111422 246649 690794 165700
7500 50161023 1496687 838208 768693 779012 32227 1255192 266262 742498 172132 31162 100637 340797 220607 205155 100907535 1216675 280712 756855 180313
8000 60913306 1705628 944121 828571 852150 34842 1376787 292196 818633 190698 34767 116073 425292 243233 229374 120718290 1334491 306747 828161 196190
8500 64404238 1725366 961829 852956 895445 36366 1448376 295504 850109 196630 39346 116409 383026 255858 235199 129317761 1443039 301319 860943 206699
9000 72952395 1840936 1033506 912587 943951 38043 1539932 317095 911962 211530 37628 122832 400198 265382 247487 145390252 1484602 327457 897912 211658
