Size Insertion Heap Quick RadixLSD InsertionSorted HeapSorted QuickSorted RadixLSDSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed
100 23066 22336 14906 18570 1005 20723 4720 14559 1000 3163 6012 7941 42128 16884 4681 14434 
200 52097 32703 20220 23404 1174 31014 6229 23247 1172 3726 8135 8887 99884 26099 6280 23144 
300 84326 38267 23223 24478 1276 36575 7443 24387 1279 4070 9374 9438 163322 31732 7515 24398 
400 143383 52502 31354 31126 1653 48990 9827 31428 1651 5260 12637 12054 280596 44000 9906 31051 
500 224055 67771 40606 38433 2062 62557 13010 38513 2062 6565 16139 14883 437286 57319 13179 38377 
600 321440 84247 49369 46036 2475 77659 15851 46067 2470 7899 19914 17741 630518 71909 16099 46015 
700 439099 101659 59818 54348 2925 93458 18942 54217 2916 9327 23548 20945 868344 87564 19132 53980 
800 566619 118315 68937 61178 3290 108181 21629 60899 3294 10576 27501 23561 1118476 100043 21740 60605 
900 714036 134944 78860 68156 3687 122368 24885 68121 3683 11771 30924 26200 1409540 114931 24971 68060 
1000 879767 152757 88140 91225 4118 137361 28491 75755 4119 13129 35450 29218 1744465 128414 28815 76260 
1100 1076854 173019 99197 109283 4576 154930 31089 110153 4578 14622 39633 32647 2133959 145494 31378 109165 
1200 1273912 188937 108977 118863 4965 169239 35228 119003 4968 15863 43601 35217 2527365 159283 35058 118724 
1300 1483757 204352 118981 127642 5344 182849 37112 127882 5356 17185 46771 37856 2945409 173673 37459 127768 
1400 1780721 228170 132309 141079 6015 204872 42300 145347 6358 18648 51992 41220 3512863 213942 42610 155194 
1500 2045766 250917 147157 152665 6605 222447 46027 151994 6671 20689 59202 45815 4065464 209497 46346 151948 
1600 2282421 263313 152038 159151 6609 230987 47433 158364 6849 21796 59978 46674 4510580 219754 48570 157330 
1700 2790789 292815 168049 178602 7322 253822 53557 186334 7149 24006 66938 52211 5451559 241267 54111 174996 
1800 2822077 296231 170190 175028 7458 261634 53771 175463 7353 23498 66385 51916 5607159 247486 53506 175107 
1900 3175723 316717 181611 186259 7824 277592 59004 187621 7816 25033 72809 55565 6311345 265923 59119 185945 
2000 3636457 349761 199724 204226 8402 297825 63852 199920 8906 26591 81328 59813 7339287 288323 63790 201331 
2100 4535046 399534 235149 229565 9887 354599 67559 228687 10119 29272 87855 85776 8807646 342061 75379 230899 
2200 4688056 401457 228587 239366 10804 350941 71825 236344 10277 32032 89832 78475 9175975 334620 75962 264297 
2300 5239413 453796 266826 250896 9817 391580 85079 252501 10017 34526 98022 74430 10624550 375643 77123 250235 
2400 5273935 435623 249819 248158 10447 372196 78086 246415 10631 32334 96673 71277 10405651 356566 81377 247910 
2500 5643994 439460 254331 250046 10445 383804 79951 250969 10777 33923 100066 74897 11258898 369470 81382 256006 
2600 6088975 465262 268694 260852 10888 404947 82452 263090 11038 35381 102933 78255 12133191 384144 83229 263395 
2700 6508012 480410 277209 272771 11620 421698 85402 270255 11257 36547 107914 79941 13009655 399687 86277 272357 
2800 6983429 497699 286212 279047 11674 431160 89226 278574 11639 38289 110883 82755 13893897 412540 90282 277585 
2900 7510962 520137 300596 289869 12086 447576 94200 294328 12176 39172 117805 86023 14988915 429886 94140 293005 
3000 8010441 538357 306838 298626 12610 463602 98595 299304 12687 40242 120552 88350 15955832 444461 98396 298854 
3100 8582074 558271 320160 308880 13048 482177 99853 307192 13058 41635 124832 91726 17044220 459263 100798 309053 
3200 9094692 577953 330536 320131 13358 500751 101894 317911 13310 43153 129964 94033 18178117 475939 104148 320280 
3300 9748582 600995 343031 330465 13817 517634 107342 331713 13951 44307 137114 98565 19449958 498124 108888 329899 
3400 10298221 619832 353741 339672 14132 533143 111339 338400 14178 45425 140548 100497 20569808 512420 112416 338256 
3500 10919530 640257 365316 347720 14695 550792 115318 348121 14812 47154 143923 104673 21770370 530617 116333 350371 
3600 11569720 663834 377369 358301 15147 567568 117454 357952 15196 48654 146945 106048 23047848 543967 118807 358109 
3700 12213676 681983 387929 369066 15599 585099 124120 369092 15544 49481 153700 109398 24338212 560425 124525 367701 
3800 12836088 702668 398456 379236 15940 604382 128591 378010 16495 51268 158595 111898 25622538 577969 128124 378050 
3900 13578362 724732 411310 389852 16582 620367 131709 391681 16475 52498 162502 115371 27054779 594824 132564 389366 
4000 14267202 745421 422169 399436 16793 634978 133550 398339 16719 53967 165633 117726 28389082 609602 135268 397179 
4100 14949639 767715 435428 408489 17100 652447 134054 408050 17080 55280 172300 120906 29948251 624208 135200 408800 
4200 15699129 787337 445574 420072 17533 670690 137412 416849 17479 56178 173333 124488 31315465 644226 138441 417841 
4300 16430413 807207 455632 427398 18124 687350 140702 427969 18045 58151 178300 126604 32793132 660303 142731 427950 
4400 17251014 826544 467857 438169 18419 706672 144282 438108 18362 59170 183421 129045 34403091 676360 147057 438066 
4500 17993067 850511 481311 450582 18964 727457 148872 449559 18811 60360 187470 131946 35986604 695489 150577 448949 
4600 18915428 872327 499313 457711 19929 744767 151485 461668 19337 61761 190253 136152 37624845 710586 152869 459453 
4700 19840418 902408 512077 474281 19735 767989 158462 470330 19674 63437 196527 139365 39788501 728105 160268 471548 
4800 20753459 923423 526624 481378 20343 789504 165801 491085 20183 66796 205850 143258 41466217 753099 165586 485860 
4900 21464863 940548 532908 494002 20552 803378 164903 492076 20546 66438 207711 144725 42830822 767937 169270 490483 
5000 22380327 958143 542699 499727 21056 812614 169454 498217 21151 67415 215555 151747 44732343 783475 174729 506386 
5100 23661490 1007033 566427 517684 21419 844173 170765 514058 22837 70949 223529 153041 47557628 811019 175003 515758 
5200 25749770 1298953 588895 531873 21979 921325 184037 553079 22847 72827 237814 162970 52533248 879130 200080 565225 
5300 25189024 1026882 579122 529262 22730 869902 180713 528959 22192 71953 226195 158577 50218501 834469 183847 531024 
5400 26245541 1053172 599510 546780 22742 895799 181764 545580 23632 73447 234331 161117 52451266 863762 186665 545206 
5500 27013213 1066340 603447 550770 23798 905324 188052 551115 22996 73945 235482 163352 53883982 869756 189070 549939 
5600 27879700 1083853 611790 560495 23338 920641 190784 556880 23440 75277 236929 164376 55725818 883718 192801 563122 
5700 28968976 1106048 622285 567622 23868 934922 193162 565848 23886 76842 245494 168237 57728764 900485 195862 571526 
5800 30005429 1130350 641587 579787 24528 960635 199267 578562 24387 77789 251531 171634 59873668 917896 202372 579280 
5900 30902375 1148488 646685 588494 24827 972582 202535 586579 24800 78847 256416 173397 61866835 936204 205542 591169 
6000 32084536 1171304 659822 599929 25040 993802 208704 599248 25305 80700 258202 178194 63968863 953705 211176 601241 
6100 33247856 1197763 674089 613614 25786 1015909 210517 610352 25566 82116 264568 181844 66398999 970755 213757 610243 
6200 34359436 1220435 689615 621205 26654 1034344 213143 624085 26062 83593 268737 183298 68644606 990333 217408 621329 
6300 37795174 1294124 750175 674989 30153 1114693 227932 662692 32548 90013 288224 194225 74976744 1056350 231870 652536 
6400 40549385 1553760 796941 824312 27286 1171686 238038 715770 27974 90407 301354 207177 82058163 1085468 232789 677774 
6500 37618317 1283498 719066 649045 27078 1087327 225000 648072 27112 87409 283360 191610 75136865 1039811 231284 647578 
6600 38703432 1299097 731166 658086 27524 1096211 228490 653826 27697 88287 287165 194202 77251214 1061597 231561 658750 
6700 39756352 1318508 737118 664413 27930 1116567 229178 662924 27904 89541 290990 196922 79488390 1071792 233529 668718 
6800 41082969 1342675 751284 675349 28612 1133857 235775 674338 28676 91398 299574 200469 82018860 1092004 240342 678510 
6900 42207642 1363022 765963 688909 28920 1150679 240694 683212 28869 92708 304426 204372 84359073 1107770 241972 686354 
7000 43420430 1385738 774385 695860 29273 1169394 242833 694070 29170 93981 306285 205141 86745434 1126044 249134 700528 
7100 46598525 1427590 810904 714809 29685 1198497 246755 717374 30015 97044 343729 240622 92722568 1188182 255960 756830 
7200 46407453 1442505 808641 717550 30000 1213420 253614 727846 30061 98490 316030 211638 92800829 1169297 253898 720808 
7300 48006282 1487144 831456 765986 31942 1238844 262514 726810 30582 98014 326206 223442 96938657 1203252 267508 763295 
7400 52269568 1536825 864004 778469 32566 1323139 279026 886059 33114 106393 363484 238066 104339628 1275730 286187 802075 
7500 50557631 1499982 838159 745394 31816 1290252 270320 749969 31552 106038 340887 220227 101128897 1234962 273300 749097 
7600 51864270 1528904 883194 768408 31766 1280103 268717 756765 32157 102838 341523 226599 103066122 1244042 277990 760126 
7700 53163365 1548834 865390 769766 32397 1302525 275062 767721 32335 104679 351489 230590 106476384 1255457 279514 769249 
7800 54468647 1576542 877183 776605 34045 1322919 279734 798647 33090 105484 347662 229851 109119056 1274094 287675 778565 
7900 56925717 1628529 895695 839084 33219 1351081 284388 803069 36068 109478 361005 238219 114668136 1302080 292007 806021 
8000 61505055 1706615 950806 876767 36412 1470394 301464 815897 34964 112712 379700 245577 119703229 1358442 295562 826245 
8100 59922802 1747534 954903 828405 34881 1393226 292405 815439 35025 110735 360293 248266 120386629 1355411 293530 822564 
