Size Insertion Heap Quick RadixLSD InsertionSorted HeapSorted QuickSorted RadixLSDSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed
10 792 1665 1226 6461 252 1409 546 6247 249 650 663 1915 927 1027 587 6222
20 1941 3642 2882 9684 328 2805 942 9550 326 936 1141 2360 2651 2187 1110 9542
30 2894 5264 3873 10594 374 4005 1263 10510 373 1112 1672 2601 4565 3307 1338 10448
40 4015 6315 4517 13279 400 5252 1382 13156 399 1198 1852 2694 6517 3985 1459 13095
50 4950 7055 4964 13257 408 6022 1612 13207 407 1266 2050 2704 8451 4732 1591 13176
60 5910 7788 5350 13327 414 6688 1772 13234 411 1275 2212 2741 10308 5310 1734 13180
70 6672 7987 5415 15144 402 7030 1702 15121 402 1249 2194 2722 11795 5635 1695 15062
80 7642 8363 5694 15201 409 7469 1715 14998 407 1258 2306 2714 13542 6064 1746 14953
90 8619 8971 6045 15332 418 8195 1889 15357 416 1300 2460 2767 15751 6636 1887 15267
100 10053 9794 6517 16044 437 8997 2059 16017 437 1383 2630 2879 18483 7263 2105 15954
200 37216 22836 14167 34026 843 21909 4422 34028 843 2671 5720 5335 70885 18276 4487 34320
300 82061 37602 22527 55179 1258 35604 7239 55429 1253 4042 9192 7828 159057 30947 7327 55230
400 142573 52202 31198 72960 1656 48388 9898 72982 1659 5284 12642 10299 280675 43892 10099 72839
500 223431 68511 40041 90827 2085 63908 13067 90961 2076 6605 16180 12771 438373 57269 13162 90688
600 321920 84249 49614 120529 2502 77420 15907 120673 2504 7917 19945 15300 632852 71940 16216 120558
700 435187 100908 59100 139907 2890 92512 18536 139383 2893 9192 23366 17735 855506 85545 18608 139670
800 563822 117625 68343 159024 3314 107669 21549 158716 3302 10483 27529 20189 1114810 99811 21802 158795
900 714542 133377 78234 179565 3709 121435 24520 178844 3704 11792 30987 22753 1410672 114895 24774 179053
1000 879195 151688 87808 198348 4112 137070 28146 198412 4113 13116 35027 25233 1737549 127531 28548 198120
1100 1078834 171981 100602 246902 4734 156737 31735 245969 4623 14684 39562 28205 2153583 147488 32472 243385
1200 1297010 190595 111354 269713 5192 174157 36041 272454 5088 16305 44421 31074 2593266 161953 36498 268854
1300 1489973 205229 118700 283874 5365 183821 36776 283842 5380 17427 47358 32914 2954765 174234 37243 283849
1400 1732225 223994 129446 306620 5805 200669 40537 307706 5811 18509 51237 35618 3440855 188930 40706 307413
1500 1977733 241753 140567 327204 6169 213678 44837 326080 6166 19677 55060 37879 3916714 203005 45177 326080
1600 2259585 260289 150650 350783 6685 231087 47471 350457 6702 21186 60418 40729 4495683 218416 48129 350152
1700 2552375 279158 160947 371346 7101 246967 51252 371578 7053 22510 64671 43534 5063287 234193 51806 371290
1800 2836763 296418 170655 392645 7423 261947 53754 392899 7429 23664 66864 45519 5653485 249143 54012 391512
1900 3147580 313177 179925 412619 7904 275239 58172 411277 7859 24949 72562 47705 6269537 262577 58902 412422
2000 3511289 334732 193002 435470 8315 291844 61449 435941 8321 26367 76245 50606 6988837 279670 61857 435535
2100 3864381 353135 204193 498594 8684 309385 63202 498001 8647 27566 79005 52765 7693055 295221 63456 498137
2200 4249960 371618 214004 521922 9077 327152 66769 521925 9054 29115 83884 55490 8443325 310853 67626 521263
2300 4645651 392130 224312 545612 9486 342014 69131 545624 9485 30275 87076 58224 9240547 326503 70203 546193
2400 5059086 412946 235827 570305 9932 360950 75137 570250 9929 31816 93978 61047 10081731 344802 75848 570544
2500 5462742 429706 245055 590357 10344 374022 77781 590064 10260 32799 97665 62851 10868925 356927 78707 589950
2600 5912375 449403 255747 615448 10689 391451 79205 615314 10688 34119 101459 65850 11774980 374492 80486 615385
2700 6413825 472111 268800 641522 11222 409826 83229 642446 11226 35781 106387 69048 12767689 392686 84068 640994
2800 6885287 490867 280105 665174 11542 425426 86914 665113 11559 37189 109768 70847 13715293 407728 87680 664606
2900 7439369 512058 291329 692945 12036 443579 92466 692880 12026 38617 116487 74175 14800084 427767 93264 692657
3000 7922360 532877 302251 715245 12566 460017 97075 715187 12433 39820 119267 76287 15795031 439447 97386 714696
3100 8443937 550687 313641 738242 12810 477748 99202 736939 12819 40977 123871 78756 16811779 456160 100267 738024
3200 9008853 570255 325067 763026 13414 493816 102314 761958 13300 42423 128805 81216 17957204 469776 102761 761600
3300 9584010 591412 335250 784808 13633 508909 106002 784318 13645 43597 131790 83884 19085937 488848 106650 784971
3400 10171541 610016 346923 810655 14164 526028 109484 807996 14147 45234 139331 86126 20240451 505209 111342 809327
3500 10827138 630666 358100 836635 14523 543647 113966 832562 14514 46482 142669 88977 21513878 523763 114520 835203
3600 11421106 653718 370757 859306 15005 561554 116097 859553 14958 47792 145217 92173 22792301 541020 116980 860422
3700 12083784 673635 382999 884274 15365 578952 122999 884642 15359 49259 151980 94244 24096547 556972 124742 883793
3800 12732553 695067 393739 907508 15756 596262 126603 908395 15857 50805 157882 96772 25405516 571927 127912 907905
3900 13447386 718999 405747 935066 16233 614994 130622 935172 16240 52144 161567 99660 26852655 590480 132220 933882
4000 14135486 739135 417742 959254 16715 631007 132561 958672 16708 53500 165194 102659 28226826 606800 134164 958465
4100 14857550 758047 428339 1061224 17113 646225 132499 1061281 17137 54727 170885 104559 29678744 621003 134692 1061458
4200 15566243 780879 438770 1087149 17553 667414 136946 1087692 17778 55923 172739 107652 31129172 639755 138022 1088756
4300 16372583 800175 451082 1112415 17891 684921 140694 1111812 17873 57340 175987 109850 32630815 656446 141506 1113106
4400 17115591 820480 462523 1139113 18283 701433 145439 1137223 18392 59102 182294 112602 34172198 672612 146099 1138967
4500 17884475 842652 476409 1166898 18822 719814 149170 1165201 19113 60035 186322 114989 35757755 692482 149883 1165778
4600 18703382 863292 486370 1191110 19122 737990 150686 1191528 19180 61435 188369 117332 37348537 706591 152415 1191981
4700 19529280 885782 497897 1218385 19711 755845 157024 1216819 19622 63125 195607 120480 39018178 725627 158740 1219294
4800 20373414 903341 509968 1243429 19957 772509 161658 1241975 20035 64421 202300 122095 40620065 740428 163089 1239825
4900 21212683 922895 519772 1268225 20480 789066 163999 1269265 20384 65241 205672 125682 42305814 758269 165799 1265601
5000 22115982 944021 532898 1295786 20882 806016 168732 1292545 20799 66877 210843 127555 44071229 773532 169952 1293549
5100 22974960 970030 545379 1321996 21216 828129 168984 1319754 21257 68012 216687 130212 45906451 790828 170935 1321126
5200 23893514 989003 555516 1349379 21756 844012 172884 1346607 21626 69295 219568 132473 47733968 809369 174532 1344767
5300 24800195 1009395 566013 1373940 22072 862606 177599 1371664 22390 70780 223741 135941 49562484 826020 179162 1373752
5400 25714019 1029055 578302 1396418 22445 878589 179282 1393347 22447 71931 229105 137417 51330843 842495 180787 1395021
5500 26701254 1050554 590596 1426165 23072 895779 184340 1421574 22934 73269 232586 140080 53272065 858407 185499 1418931
