Size Insertion Heap Quick RadixLSD InsertionSorted HeapSorted QuickSorted RadixLSDSorted InsertionEqual HeapEqual QuickEqual RadixLSDEqual InsertionReversed HeapReversed QuickReversed RadixLSDReversed
100 26549 25074 20980 21253 1168 23196 16365 16362 1163 3607 7431 9079 48919 19140 16617 16422 
200 54062 32898 25907 24062 1222 31266 19281 24013 1220 3832 8819 9183 103460 26371 19384 23814 
300 84383 38574 29272 24664 1288 36763 21420 24735 1283 4095 10120 9421 163767 32101 21280 24438 
400 144705 53119 39183 31376 1667 49480 28076 31440 1667 5330 13542 12126 283476 44588 27994 31434 
500 225248 68866 50076 38956 2084 63368 35762 38894 2079 6614 17294 14968 439736 58025 35477 38653 
600 322680 84667 61197 46289 2490 77846 43366 46216 2485 7931 21557 17882 633209 72768 42589 46169 
700 443623 103314 73987 55603 3092 94624 52432 54800 2939 9557 26468 21116 873077 89386 52093 54494 
800 567716 118755 83942 61035 3313 108116 59457 61330 3308 10575 29533 23589 1122650 100953 58666 61004 
900 716741 134704 95292 68368 3710 121608 67753 68669 3717 11874 32807 26446 1415310 115639 66339 68203 
1000 886852 153905 107353 89842 4165 137987 75717 76417 4151 13242 37686 29472 1761276 129870 74641 76289 
1100 1071634 171069 119062 109231 4546 153256 83219 109183 4597 14684 41490 32344 2121842 144432 81924 108809 
1200 1278092 189640 130985 119352 5008 169746 92779 119647 4997 15977 46651 35533 2539381 160645 90304 119411 
1300 1499137 206882 142720 128908 5386 184674 100965 128651 5390 17198 50836 38098 2961807 174826 98407 128306 
1400 1740485 225209 155458 139392 5820 201061 109887 139532 5808 18599 55387 41112 3455273 190098 107108 138780 
1500 2038957 247291 169076 149485 6245 217544 117961 149458 9157 20039 59959 44634 4022564 206933 116882 149917 
1600 2271004 261995 179188 158732 6660 232001 125703 159088 6672 21289 63280 47045 4516459 221158 123222 158726 
1700 2562516 282539 191664 168631 7070 249624 133877 169248 7068 22740 68517 49942 5106823 236342 130719 168920 
1800 2869817 303185 203704 179152 7474 265068 141243 178263 7467 24098 71351 52914 5708772 252159 137948 178569 
1900 3234423 322953 217936 191336 7954 284228 152428 189930 7943 25393 78125 56024 6405677 268792 147276 189320 
2000 3544091 340148 231895 199071 8325 293425 159505 197987 8324 26895 80787 59593 7065451 282723 155540 197966 
2100 3919424 359334 241090 208909 8737 311533 168248 208519 8755 27961 84638 61865 7804275 298960 165098 209253 
2200 4319221 380574 257321 218601 9178 329622 177270 218262 9198 29654 89685 65017 8612024 315458 172499 221774 
2300 4761087 402441 271260 230995 9692 349339 188803 231103 9656 31216 94925 69087 9463118 336328 183159 231889 
2400 5234444 424394 288646 246017 10270 371812 200380 243118 10188 32959 101506 72221 10469346 355859 195790 242562 
2500 5811440 454770 304710 260980 10711 392045 210985 254817 11349 34539 107660 75844 11542006 373994 205387 257122 
2600 6076993 461931 309609 261075 10966 401314 213239 260640 10980 35119 109474 77090 12100417 384721 207242 262565 
2700 6513791 478138 320234 269232 11387 414479 220164 269032 11308 36390 114861 81947 13000851 398535 214237 268806 
2800 7025398 501204 333693 283748 11742 442752 230647 280762 11748 37906 119385 82579 14123497 412126 222822 279091 
2900 7489972 517474 348042 287975 12165 447405 235995 288220 12125 38834 124845 85738 14941635 429732 230379 288498 
3000 8070158 543534 362867 300852 12752 469152 246560 300122 12832 40452 128841 89265 16188708 447290 242254 300792 
3100 9009180 580385 383220 323427 13429 512625 265615 326404 13375 43099 137590 95277 17909985 487556 261210 324511 
3200 9439622 596508 398356 335064 14472 514585 271594 333860 13703 44043 142170 97727 19009007 497705 267235 333646 
3300 9645442 598811 394907 326544 13749 515898 268476 327018 13801 44069 140231 97257 19253964 492058 260271 326529 
3400 10230025 614875 406990 337320 14150 530840 275712 337832 14143 45332 146885 99950 20414217 506871 268463 335823 
3500 10842057 637781 421059 347074 14605 548596 286586 348600 14572 46709 149671 103172 21700017 525329 279391 346342 
3600 11694010 662611 437019 359923 15105 569996 298645 359299 15065 48305 153676 106257 23264913 544451 292425 359409 
3700 12301495 681789 447777 367866 15447 582591 303638 367649 15464 49429 161018 108591 24418212 559810 296882 366617 
3800 12856205 721659 461044 377133 15884 601235 311425 377115 15841 50946 165732 111868 25894149 573987 303117 376152 
3900 13536710 722688 474334 386558 16304 617677 320777 387157 16402 52096 170769 114762 26997906 594509 313800 388146 
4000 14353187 743705 488377 398636 16722 634686 330714 397092 16690 53556 192650 118826 28503338 606833 320607 400330 
4100 14927047 775361 500821 406416 17090 649163 336522 405312 17211 54823 180515 120608 29773312 622082 329846 405448 
4200 15637988 780442 510883 415034 17501 666070 341238 414906 17462 56022 182721 123741 31184971 641143 335687 416115 
4300 16382586 801911 523472 426804 17894 684365 351585 424315 17934 57346 189379 125937 32713367 657227 345142 426089 
4400 17128875 826318 538313 435648 18304 703621 361035 435244 18850 58686 192945 129259 34245043 674345 354864 435865 
4500 18015918 850780 553721 449534 18929 724132 370307 447959 18777 60948 197523 132649 36013795 695225 364852 448272 
4600 18946090 868074 570985 455347 19512 750082 385435 456659 19220 61915 199985 134984 37692997 712216 372847 457032 
4700 19612887 887885 577854 465588 19600 756062 382859 466183 19622 62890 206173 137965 39206162 726862 382247 466304 
4800 20438297 909530 591707 474744 20021 774446 393320 475539 19958 64187 213894 140897 40800253 740483 385752 474439 
4900 21163373 927328 602536 489049 20401 791460 403705 484646 20355 65211 217016 143944 42344603 757472 394402 482957 
5000 22146408 949039 616852 493752 20852 807892 411711 493931 20779 67246 222779 146188 44238920 772898 402078 493692 
5100 23092447 972222 632068 504457 21420 827281 418508 504855 21217 68701 228070 149820 46416976 794694 414100 503419 
5200 23938195 988875 644770 513643 21624 842903 424387 514799 21685 69469 233026 152267 47757454 844425 417849 513093 
5300 24745668 1009126 654167 521603 21992 857537 430987 522259 22033 70776 237845 154919 49460914 825292 424482 521548 
5400 25717282 1030773 670323 531846 22471 877258 441805 531949 22419 72042 243636 157393 51405096 841948 434578 531830 
5500 26963127 1060137 687446 546252 23216 905807 455232 545004 23119 73907 250326 162076 53818682 876639 450801 550148 
